factor_name,list,li,si,long_strict,long_tie,short_strict,short_tie,m_long,m_short
hotpool_ext_ind_rel_x15y10_ba_cold_rk_vol_autocorr1_smooth_1,orig,0,9,False,False,False,False,0.23700057041322808,0.04244418646249304
hotpool_ext_ind_rel_x15y10_ba_cold_rk_vol_lz_complexity_fold_mean_smooth_10,orig,0,9,True,True,False,False,-0.13263896728190017,0.4383843502149596
hotpool_ext_ind_rel_x15y10_ba_cold_z_p95_fold_mean_smooth_5,brc ,9,0,True,True,True,True,-0.2958512301324502,-0.2643903664331402
hotpool_ext_ind_rel_x15y10_ba_hot_rk_buy_p95_smooth_1,orig,9,0,False,False,True,True,0.31518178723814794,-0.398499773774311
hotpool_ext_ind_rel_x15y10_ba_hot_rk_buy_std_smooth_1,brc ,9,0,False,False,True,True,0.7384292687832839,-0.3765136546318736
hotpool_ext_ind_rel_x15y10_ba_hot_rk_vol_autocorr1_abs_fold_mean_smooth_5,orig,0,9,True,True,True,True,-0.048253829048943375,-0.21856001799115507
hotpool_ext_ind_rel_x15y10_ba_hot_rk_vol_curvature_fold_mean_smooth_20,orig,0,9,True,True,False,False,-0.016178206671802586,0.36161777298559883
hotpool_ext_indpool_x15y10_ba_cold_f07_p95_min_smooth_10,brc ,9,0,False,False,False,False,0.12311687690463358,0.10004779234228003
hotpool_ext_indpool_x15y10_ba_cold_f07_p95_min_smooth_5,brc ,9,0,False,False,True,True,0.228572932536947,-0.16556388498771202
hotpool_ext_indpool_x15y10_ba_cold_f28_curvature_max_smooth_5,orig,0,9,False,False,False,False,0.10172778790942538,0.5379207698203208
hotpool_ext_indpool_x15y10_ba_hot_f28_curvature_max_smooth_10,orig,0,9,False,False,False,False,0.12011633189731041,0.5290051138540868
hotpool_ext_indpool_x15y10_buy_hot_f25_median_mean_smooth_10,brc ,9,0,False,False,False,False,0.44913565748024453,0.06540018044339485
hotpool_ext_indpool_x60y3_ba_hot_f00_mean_min_smooth_5,brc ,9,0,True,True,True,True,-0.08709997340105469,-0.07917356672043513
hotpool_ext_indpool_x60y3_ba_hot_f07_std_min_smooth_10,orig,9,0,False,False,True,True,0.39811438379223474,-0.023626653261787145
hotpool_ext_indpool_x60y3_ba_hot_f30_autocorr1_abs_mean_smooth_10,brc ,9,0,True,True,True,True,-0.3172065749963928,-0.147503405263834
hotpool_ext_indpool_x60y3_ba_hot_f30_autocorr1_abs_min_smooth_5,brc ,9,0,True,True,True,True,-0.215833726938371,-0.09530718553742024
hotpool_ext_indpool_x60y3_ba_hot_f31_mean_max_smooth_10,orig,0,9,False,False,True,True,0.07115766001044532,-0.3785974890009408
hotpool_ext_indpool_x60y3_buy_hot_f09_mean_mean_smooth_10,orig,9,0,False,False,False,False,0.5091516682133148,0.40448918500854314
hotpool_ext_indpool_x60y3_buy_hot_f09_mean_mean_smooth_5,orig,9,0,False,False,False,False,0.5162743611550616,0.40232857316589427
hotpool_ext_indpool_x60y3_buy_hot_f12_p75_mean_smooth_10,orig,9,0,False,False,True,True,0.23797644428457732,-0.16047311359736344
hotpool_ext_indpool_x60y3_buy_hot_f12_p75_mean_smooth_5,brc orig,9,0,False,False,True,True,0.20303971220996253,-0.05205694381204473
hotpool_ext_indpool_x60y3_buy_hot_f12_p75_smooth_1,brc ,9,0,False,False,False,False,0.15034083711926183,0.15704855258021555
x15y10_ba_cold_f00_corr_f28_mean_smooth_10,orig,0,9,True,True,False,False,-0.02778890004591017,0.24870382144185244
