factor,folder,nd,nbad,nmir_bad,ic,resid_mean,max_mirror_dev,lambda,lambda_short,lambda_long,ssm,gamma,share,share_ic,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,gsd1,gsd2,gsd3,gsd4,gsd5,gsd6,gsd7,gsd8,gsd9,gsd10
hm100/microcapm_active_buy_volume_ratio_capm_abs_residual_mean_corr_microcapm_price_log_return_3s_capm_cooks_distance_mean,hm100,2424,0,0,0.021624659183228083,0.00010899192985033054,0.0,0.5424835347974964,-0.16049906257283988,1.0,-0.16049906257283988,0.8181818181818182,0.3321342599215599,0.3321342599215599,14.333392651505228,6.235905675456653,9.063158586612944,9.984804705112007,12.09359925439509,12.138759249822717,14.425874120277614,16.707025802769245,19.631817754613984,33.53599492637297,9.13404181788441e-05,0.0037985916298711384,0.001999900712491337,0.001027412875095473,0.00022884458428235757,-0.000185502990645455,-0.00015288176465496942,0.0004589824452128359,0.0027281083492600895,0.011520870994286064,564.7459902774062,595.16902918459,591.1406136300744,585.8807419230119,580.974331526201,575.5460835595069,571.9607035564278,562.9399586358114,541.1077014739207,484.4167741509564
hm100/microcapm_active_buy_volume_ratio_capm_abs_residual_mean_corr_microcapm_price_log_return_3s_rolling_alpha_mean,hm100,2424,0,0,0.02602899400661178,0.0002192982209974397,0.0,0.3654375778080583,1.0,-0.8777652940354236,-0.8777652940354236,0.40606060606060607,0.8322580947653268,0.8322580947653268,-20.24893370037743,1.3943084152740317,14.619296747057186,22.404068815346843,24.96812765614918,26.58816397924872,28.049287250191806,24.646224427162874,20.134420880160455,5.6035624715061925,0.016919923822346892,0.005899130377897002,0.0003412128001625292,-0.0011202498031199959,-0.0005596889562783016,0.0006758194457875389,0.0021313414452030855,0.0027270673474831773,0.0019341302175024382,-0.0031389909113699603,660.4442986348708,617.7920752394813,571.4476216476791,547.4226259330236,530.5457964700688,522.4459800788309,523.4545626093122,529.3002280914259,548.7726728449485,578.1420175844901
hm100/microcapm_active_buy_volume_ratio_capm_abs_residual_mean_curvature,hm100,2419,5,0,0.056870005857846004,0.0006756603045899155,0.0,0.9961008815185091,1.0000000000000002,0.9325580438212439,0.9325580438212439,0.9636363636363636,0.6161707845709645,0.6161707845709645,-49.683748159110635,-8.077288510724465,9.603544850545601,17.675565317179025,24.378400875336606,30.01135156217993,33.13959462929213,33.22562480133485,33.06072064274256,34.57179755954142,0.024070778252779364,0.008680335987622124,0.00211961129293884,8.394842032621111e-05,-0.0003293599656648558,0.0006641927420829088,0.0024061770061308057,0.0037725926080999805,0.005690388688715572,0.009035680520225116,694.557514809865,617.3482944187792,578.6138691793354,558.1919987362296,543.216387033154,537.9182662648672,540.9798257772848,535.7198423285773,521.6443645519194,534.6318024468795
hm100/microcapm_active_buy_volume_ratio_capm_residual_zscore_mean_corr_microcapm_large_trade_direction_v2_capm_residual_mean,hm100,2424,0,0,0.08305688682468962,0.0008431685960264159,0.0,1.0000000000000002,0.9999999999999999,1.0,0.9999999999999999,1.0,0.5544130784838835,0.5544130784838835,-47.544615479824195,-17.970233661757586,-0.5746365136497145,12.841646475707421,23.305605128035495,29.301377814916012,33.68699491435182,36.85310909891951,38.65143391022988,39.57959736134256,0.02566212302393371,0.013037843700037919,0.005681402250932902,0.0013457497337786225,-0.00014675809192345518,0.0006006297069172524,0.002900246255234412,0.006428426566692748,0.010606168699549211,0.01609788638350982,780.0915286772571,666.3127415328762,612.2939890925542,571.6719778576957,543.2477865004711,514.8879176283714,491.60856989647687,471.88505128620636,454.9960152109618,442.3849204185749
hm100/microcapm_active_buy_volume_ratio_capm_residual_zscore_mean_max_range_product,hm100,2387,37,0,-0.07684499053357331,-0.000780716645988469,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.46716662457352337,0.5328333754264766,53.25246254466346,43.487252090823056,39.88961737371188,34.22513237334608,27.30234177075482,20.942406277976556,11.541187720958447,0.2511328499998369,-16.474943550876255,-42.67176084735113,-0.015783282422402997,-0.01095402888785662,-0.006150084292112575,-0.0023129899700970436,-0.00033430451022983663,-4.417212609662387e-05,-0.0014444850172974368,-0.004953159361774008,-0.011555171455467833,-0.022532595844250016,564.7753981351187,477.91093151610966,496.1876419282486,516.8259717576371,534.1631836566997,552.0544174158586,566.9971745228235,592.6719803680776,632.9431881494427,699.3753999342324
hm100/microcapm_active_buy_volume_ratio_capm_residual_zscore_mean_std,hm100,2424,0,0,0.0599009718192626,0.0006687054065030574,0.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.5245288378986774,0.5245288378986774,-34.353213974046916,-12.162189052160695,1.2374392510190866,9.567622975399344,17.695660968690397,24.310790432542035,30.54926666416951,35.278701209480985,37.30914214508559,38.67975543149942,0.017484173709522082,0.00854920438071134,0.003757088751837668,0.0012119546645216093,6.66103609969187e-05,0.00024832685228806157,0.0016974847115625838,0.00454382109881142,0.008131560598658879,0.013542041283848954,732.9679385730642,628.3386988729611,588.740073441933,567.122239292613,551.8197277443048,539.5922203137452,525.4920805485589,505.3295739594428,485.432535715688,467.4739846702721
hm100/microcapm_active_buy_volume_ratio_rolling_alpha_mean_period_ratio,hm100,2422,0,0,-0.042251340387854185,-0.00016586309288521114,0.0,-0.2322233897535629,-1.0,0.05101952557913025,-1.0,-0.8424242424242424,0.5426418170282107,0.45735818297178926,33.553684312944924,33.389883416427125,33.27547162522539,29.622569295153504,24.573322611949692,8.34390522099057,-12.812408562981327,-24.080509300067074,-8.56273799166093,11.830337851872615,-0.008408052854272867,-0.006752422265674241,-0.0048424667622215525,-0.00240684298197342,-0.0004275550056994121,-0.0003374915916157728,-0.0035086788109299893,-0.007635241677231158,-0.006474217943804581,-0.0012925074015460226,503.06453103079207,497.3406240547253,497.2774660283771,506.41908338214756,542.4816633337501,589.6921531232372,642.9847326366189,664.1902658369632,620.8590636949584,572.426491005838
hm100/microcapm_active_buy_volume_ratio_rolling_beta_mean_p5,hm100,2424,0,0,0.04583424833614023,0.0003155600618492765,0.0,0.6661377165561109,0.3040812949736081,1.0,0.3040812949736081,0.9272727272727272,0.42082415567799153,0.42082415567799153,2.493010882239259,-6.858906719164745,-4.396984148558988,1.4582055762057609,10.665641375375847,16.731655823065097,23.688468882022804,29.35891548906331,35.389421651643374,39.81178179675713,0.004787392041161897,0.0069893086664805214,0.004851024176759783,0.0021637227388843446,0.00036391593731163784,-6.600299818830577e-05,0.0008752749516334842,0.0032242878833970423,0.007473177888579114,0.014856586988271435,609.1283840846144,622.1597690649412,624.3644805102042,611.2361339798504,594.1436248164381,572.5574578211738,547.5577815730189,518.7293431670699,487.7995894764479,439.3609803517399
hm100/microcapm_active_buy_volume_ratio_rolling_residual_std_mean_autocorr1,hm100,2424,0,0,-0.08544399631575839,-0.001335937167970354,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.40319049426226644,0.5968095057377336,41.9929109901195,41.79907420932495,38.406443844013566,34.4126734850294,30.378762296395916,24.111753397938127,17.05588176297101,7.532565792852515,-12.806145475632485,-76.35641017784525,-0.014958162950961106,-0.00965294835317141,-0.0057534322279585905,-0.002817270459316683,-0.00072975594782873,0.000392343502033316,-3.6218248958512556e-05,-0.0029887192198244177,-0.011407683760556786,-0.03615621148124493,463.3658173473041,486.20975148278234,496.03733615228134,502.7442518471068,509.8837391618323,523.1363789258025,544.4782001724171,583.4306882297876,645.2895150164302,810.111796267676
hm100/microcapm_active_buy_volume_ratio_rolling_residual_std_mean_corr_microcapm_large_trade_direction_v2_capm_abs_residual_mean,hm100,2424,0,0,-0.07019385865537958,-0.0007029985154743546,0.0,-0.9999999999999998,-1.0,-1.0,-1.0,-1.0,0.4092037488282135,0.5907962511717865,39.05316755498241,37.30436271018947,34.70858615477485,32.65238776682133,28.933763449127078,24.879119863362646,17.940023881875117,7.811419246895063,-12.11001815329682,-63.25937880573789,-0.012255110448596356,-0.008367868872284264,-0.004876717633267713,-0.0023666855299636527,-0.000569537994434254,0.00031610515866934086,-0.00017348134271438586,-0.0027939652526149028,-0.010286683633772017,-0.02811691459092689,535.6101086261276,498.7519525064887,506.4591287566921,516.4934243943127,526.2629315896104,541.907749000969,558.08813766993,587.9302532198366,636.9751256236714,715.8001448205587
