factor,folder,nd,ic,lambda,lambda_short,lambda_long,ssm,gamma,share,share_ic,resid_mean,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,gsd1,gsd2,gsd3,gsd4,gsd5,gsd6,gsd7,gsd8,gsd9,gsd10
hm100/microcapm_active_buy_volume_ratio_capm_abs_residual_mean_corr_microcapm_price_log_return_3s_capm_cooks_distance_mean,hm100,2428,0.023196249744924454,0.6018458429222795,0.17491104419238118,1.0,0.17491104419238118,0.9272727272727272,0.39714672557704905,0.39714672557704905,0.00010736116176811322,0.46043929843482495,-1.8230361829497805,-0.31443971873588367,1.001055220111525,1.428589648831246,0.9891202069871102,2.2110754212100945,2.6287138072687934,4.06671730867276,8.692391939992438,0.0021596034754400527,0.0041317746358187244,0.0019506939914505008,0.0007530899654128579,0.00017451442989172304,-0.00010460727811867128,0.00012046535434084519,0.0007996070500170645,0.003014075230970029,0.010089671727933232,245.76552345474002,261.3139018100103,258.3418773166606,255.9392451456614,252.77317548085244,249.26623766352787,247.24321738752027,241.55536367688183,231.01866592404474,202.04807320149433
hm100/microcapm_active_buy_volume_ratio_capm_abs_residual_mean_corr_microcapm_price_log_return_3s_rolling_alpha_mean,hm100,2428,0.028333705506212274,0.16795162396783075,1.0,-0.8751343199105973,-0.8751343199105973,0.34545454545454546,0.7516051311187045,0.7516051311187045,0.00022068218017024812,-6.3805274953396625,-1.6256460889951176,2.447134717722721,4.418322299182516,4.828861210324172,5.031324202567899,5.599650424839555,4.999022804680588,2.9514904377265636,-2.935024623770268,0.01554207820246676,0.005937865206127543,0.0008039848574961313,-0.0007178190237424011,-0.00043621665923500465,0.0005757920870619539,0.0019405425712184974,0.0029203848618584052,0.002630591422666069,-0.00108418019987591,297.7057668013483,272.1592652368463,250.001316528022,235.22461417045847,226.1317453400711,220.40172271697475,221.04295757616458,224.2472108801458,232.87398122642594,250.670397223393
hm100/microcapm_active_buy_volume_ratio_capm_abs_residual_mean_curvature,hm100,2423,0.04030563148194405,0.9784863712505634,1.0,0.8690501557984984,0.8690501557984984,0.9515151515151515,0.609276478498131,0.609276478498131,0.0005996920220531044,-16.527102124146328,-5.011556565540819,0.39977653385357653,2.4628367619838696,4.984527215173086,6.553693877404351,7.398646858951819,7.371654429913282,7.101563464773579,10.496888641324281,0.016193295444640498,0.006349983662823673,0.0016537077784681135,0.00020397512186825823,-0.0002090670382182606,0.0005048236769053263,0.0017499112304675635,0.0024997166093746435,0.0034823163969060276,0.007277276576655006,315.3864678669456,272.2439751771041,250.96544957387496,238.67003174676645,231.55422153529065,225.09707485521585,221.79502484785746,223.00969901150222,220.44551473963406,228.8304288597398
hm100/microcapm_active_buy_volume_ratio_capm_residual_zscore_mean_corr_microcapm_large_trade_direction_v2_capm_residual_mean,hm100,2428,0.06163880628993294,1.0,1.0,1.0,1.0,1.0,0.5290520800758669,0.5290520800758669,0.0004761147362519602,-9.332708663263201,-7.481108523784669,-3.296007931389952,0.29352645897376645,3.5346227296683868,5.460059623527714,7.135290134185123,7.911428219021328,8.360731141637084,8.537108648866141,0.015227039247991802,0.01037778930569292,0.005196018969004395,0.0015417387174469657,1.5662949377424213e-05,0.0003911698892646694,0.002201950636809453,0.004957386557657542,0.008477334753369176,0.012776600527066502,359.7908411375041,299.82276375916564,269.68908496938485,247.1516820007195,230.31399997700086,216.04846671476548,204.44825859471217,193.00495745253215,184.56821718796027,177.48041117475498
hm100/microcapm_active_buy_volume_ratio_capm_residual_zscore_mean_max_range_product,hm100,2391,-0.06173506858051573,-1.0,-1.0,-1.0,-1.0,-1.0,0.4915056208701839,0.508494379129816,-0.0007053440181999266,18.915799839494916,11.684219322682644,9.896561436575478,8.0620246277477,5.628007055260543,3.6660159191152184,1.145397284004979,-2.0895728778261637,-7.255212741398267,-15.591542448265452,-0.015023589182048788,-0.008570593620422786,-0.004603517412637344,-0.0016387187422585276,-0.00016003370516987395,-0.000153140927612979,-0.0013548453538587675,-0.004102357797690908,-0.00907409033203611,-0.01634883748857966,219.90843783500736,196.66041822586027,204.97946916518873,216.36352326697224,226.18324226346107,236.59373648035717,246.1936167362676,260.3830968221819,283.68495697707755,319.05595205666464
hm100/microcapm_active_buy_volume_ratio_capm_residual_zscore_mean_std,hm100,2428,0.039791049517369136,1.0,1.0,1.0,1.0,1.0,0.4894859626965323,0.4894859626965323,0.00028566390959563635,-5.441377284468009,-4.9429945714957375,-2.2803235973736125,0.09707611736763071,1.9260140111731148,3.897927145082748,5.847653386367792,7.1228428471389025,7.3419557381509275,7.548477623865664,0.008706494501176993,0.006145205217006555,0.003157992597172622,0.0011732239363300748,0.0001544154542324753,9.370757878147318e-05,0.001078223920676785,0.003110635111391775,0.005811705524906584,0.010073781766098121,336.5827324139667,282.5774116579113,258.99129611014075,247.2008728708429,236.6723482111318,230.20018226997172,220.38106179926888,209.93080933300664,198.25326087533537,187.18346381130007
hm100/microcapm_active_buy_volume_ratio_rolling_alpha_mean_period_ratio,hm100,2426,-0.035246220673548954,-0.28607646967535605,-0.6499080711875553,-0.0689893429769027,-0.6499080711875553,-0.8787878787878788,0.5215318519280034,0.4784681480719966,-0.00015387876480101538,6.825767652477954,6.6509180237187016,7.145457256547335,5.810586203502888,4.989649693263777,-0.05641221112695271,-6.96600322036888,-11.457010359526397,-7.2677392159549905,-1.5279325419311582,-0.006560372545928083,-0.005351893619343414,-0.004032576895931405,-0.0020042697512854353,-0.0003526612516716336,-0.00022551315084099006,-0.002577971526323929,-0.005715717898446495,-0.005605539772803999,-0.0026658254961725047,210.21221481267477,207.20934815491796,207.79132441039985,213.67391887918905,231.92835544391167,257.7441632838822,286.28252905277316,297.3977549731239,273.72483823487556,246.92928276082722
hm100/microcapm_active_buy_volume_ratio_rolling_beta_mean_p5,hm100,2428,0.03917663773170288,0.5943298649403402,0.3003098101300003,1.0,0.3003098101300003,0.9272727272727272,0.4283947008250557,0.4283947008250557,0.0001856456073203367,-1.7447499397181563,-5.43658361054802,-4.578665854259156,-2.131827723972476,1.4243494267441643,3.5046944923352457,5.463491744334232,7.222728594991048,8.396182264710188,9.072743473465094,0.004394766430963674,0.006174179588405053,0.004063850163665079,0.0017913925279395102,0.00027934569502362753,-3.7182759238765164e-05,0.0007962351123038947,0.0027572860451030193,0.006201883284948965,0.012569236035268447,264.38949994167564,273.940062326279,275.73475146443354,269.147705761779,259.55163457720363,248.3862693118657,234.6611899622127,221.30921681302394,203.62980206426937,178.2738261174665
hm100/microcapm_active_buy_volume_ratio_rolling_residual_std_mean_autocorr1,hm100,2428,-0.06407650591650323,-1.0,-1.0,-1.0,-1.0,-1.0,0.41691378918020666,0.5830862108197934,-0.0007631966146662012,9.460516975557804,9.197513959811818,8.846408046406468,7.2949297470644785,6.175752266202821,4.494692351721531,2.8728008816799826,0.1773143215250151,-5.370152188569911,-22.47207091391267,-0.011824744844186354,-0.007398291499860749,-0.004577117300794894,-0.002090770436442086,-0.0005052676052831625,0.00023347652953250962,-0.0002572338979717124,-0.0028474350426422527,-0.009037519564389212,-0.02500840563979899,187.97079864699234,198.73078091439154,204.65732027488284,208.63003652787512,214.46431708321583,221.7639855680984,233.92318355229588,254.21824032253318,287.50677867015287,377.2119209426092
hm100/microcapm_active_buy_volume_ratio_rolling_residual_std_mean_corr_microcapm_large_trade_direction_v2_capm_abs_residual_mean,hm100,2428,-0.05504031235246715,-1.0,-1.0,-1.0,-1.0,-1.0,0.42246530650351777,0.5775346934964822,-0.0006373109262090178,13.311979980930268,8.3767859010394,7.301576606351776,6.843124159164269,6.132047252286577,4.820156618223518,3.3023436018071903,-0.1928493695092496,-5.897342617347304,-22.937253895161867,-0.011360758205144518,-0.006121408015213462,-0.003425512769085508,-0.0016794879099385816,-0.00039621377287343194,0.00021299022120065188,-0.00012773894365813337,-0.00231137840995555,-0.007714492731013691,-0.021479000890576024,228.66826815932006,208.81706331618605,211.28123036619112,216.85779657816386,223.21531492087894,230.2669005614449,239.79473215174397,254.51992908634722,281.16062330373836,329.9252984796158
