factor,folder,nd,ic,lambda,lambda_short,lambda_long,ssm,gamma,share,share_ic,resid_mean,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,gsd1,gsd2,gsd3,gsd4,gsd5,gsd6,gsd7,gsd8,gsd9,gsd10
hm100/microcapm_active_buy_volume_ratio_capm_abs_residual_mean_corr_microcapm_price_log_return_3s_capm_cooks_distance_mean,hm100,1207,0.01692486222923925,0.3494440869225322,-0.6466859063084373,1.0,-0.6466859063084373,0.2606060606060606,0.2674962797798347,0.2674962797798347,9.039070890673448e-05,33.475350936069596,26.097372882572515,25.914569293625373,24.14921128338361,26.150234408927084,24.009632238466768,25.02694004401845,26.805776022167382,28.824455859518615,45.794000404370166,-0.0010556739669925496,0.0027041956892406953,0.0015985834275109253,0.0010205162902991415,0.00023553706369031747,-0.0002221002446265045,-0.00036533851555113546,0.00010341118178988407,0.002024763417123177,0.010790577177848582,619.5765834920994,643.8448763163266,635.6881637754908,626.898416083492,620.9117721532572,611.6047338252199,605.6948335017448,595.5774130021017,575.9867483293423,525.3582696501379
hm100/microcapm_active_buy_volume_ratio_capm_abs_residual_mean_corr_microcapm_price_log_return_3s_rolling_alpha_mean,hm100,1207,0.02628519057478524,0.3690992284613467,1.0,-0.8495522321551535,-0.8495522321551535,0.503030303030303,0.8564163634109302,0.8564163634109302,0.00018505567719665208,-7.920612943865673,16.08155632771549,27.66816971241225,35.819601141628205,37.28808810072946,39.97655149084079,41.8418446675258,39.7835008415175,36.8111498550068,18.91058282175756,0.018394918143504045,0.005576227859782805,0.0001981577471041732,-0.0012438592844988,-0.0005728618523647333,0.0007245013802285049,0.002180209949352178,0.003056855560806955,0.0024290632743086396,-0.00464307788063522,734.4192905231527,661.3798080907932,605.1121457129237,577.5042890223394,559.2698852523098,551.5147982460298,554.2678398194344,560.3627666137868,584.844296734621,632.4084884950405
hm100/microcapm_active_buy_volume_ratio_capm_abs_residual_mean_curvature,hm100,1207,0.05860260662569103,1.0,1.0,1.0,1.0,1.0,0.6100092925488065,0.6100092925488065,0.0007835533996779279,-36.90911551317014,5.667697200148582,22.18877858515074,30.608369464635217,38.53133877125264,42.871377325020916,48.18572459141588,48.610583742347764,49.540576307380626,50.537834874422096,0.02452854088027586,0.008614127500580333,0.002314220320345224,0.00013535303567080868,-0.0003220819826301635,0.0005523654301267999,0.002575906924021013,0.0042581781855310615,0.006249413777798105,0.008913029154294084,749.4497196869661,657.2102454329125,615.8965771361991,594.5238975243471,578.83037115005,570.8214183315206,571.6736685120193,572.874731886636,563.6722217965424,588.5223623356056
hm100/microcapm_active_buy_volume_ratio_capm_residual_zscore_mean_corr_microcapm_large_trade_direction_v2_capm_residual_mean,hm100,1207,0.08021659840018455,0.9895345747889002,0.9999999999999999,0.8888842981808627,0.8888842981808627,0.9878787878787879,0.5622745367932068,0.5622745367932068,0.0007298260711504983,-34.429847281304426,-3.0932275139967453,14.208394347612577,28.165792587636307,36.94912697927944,43.75628814844864,48.41415120446551,50.44139301119847,51.43426880950432,50.98260313017785,0.02531237051629105,0.012875029543796067,0.0055326094881020214,0.001149665389023164,-0.00017628684471753604,0.0006280920969763705,0.0029816772282061465,0.006265128985647311,0.010242542101271939,0.014675943824437605,838.9215983954604,716.0205904641565,653.7731138158654,608.1785594713359,576.9144004713706,549.673983610239,525.3445911567858,506.4827679589938,491.77526069641254,484.96418827719145
hm100/microcapm_active_buy_volume_ratio_capm_residual_zscore_mean_max_range_product,hm100,1207,-0.07743754174799282,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,0.4483512745288124,0.5516487254711876,-0.0007355621359988311,60.556524377688135,58.01335642297082,55.92162159862752,51.4338755853625,43.69840294417959,36.17956365104527,25.772299541536892,11.238129541520376,-6.318535547818671,-36.225861201123614,-0.013489045940768425,-0.01109336860017712,-0.006511843522602399,-0.0028232967876017476,-0.00047187546677075076,6.101426633079028e-05,-0.0013509747404296254,-0.005247290483514025,-0.0122743645138613,-0.023500933822599285,594.7997559921762,522.9656750782243,538.868416184122,553.5805967701797,571.367429679427,584.5096683913623,601.3254320829612,628.9918007045686,675.9074177763622,746.1745441291902
hm100/microcapm_active_buy_volume_ratio_capm_residual_zscore_mean_std,hm100,1207,0.0702591695904067,0.970235106527544,1.0,0.8116095939220345,0.8116095939220345,0.9878787878787879,0.5406628167077392,0.5406628167077392,0.0006668851132010043,-29.871305993468713,-3.8840783410540034,14.057587754056138,23.31150699128485,34.00724543905672,42.02046436594161,48.035745702240696,51.94420890071307,54.23972951282163,52.969040546104814,0.021371997698341756,0.010643466574832386,0.0043208520391282675,0.0012909184053617685,-1.274171091909161e-06,0.00040259494357780464,0.0021974669013836564,0.005474264244119104,0.009667071994770226,0.014224925846782586,811.155073452842,677.1761179847407,628.736301818536,602.8374688922111,586.387381268698,571.4207234648557,554.8272817626867,529.903558259583,508.24037655162545,502.1704303063453
hm100/microcapm_active_buy_volume_ratio_rolling_alpha_mean_period_ratio,hm100,1207,-0.043683946704810454,-0.20034427318673437,-0.846272442293269,-0.01785656595778154,-0.846272442293269,-0.8545454545454545,0.5235598959211716,0.47644010407882836,-0.00013330793054563457,46.3916635059196,46.993733225659,46.76415984677285,43.69046331993873,39.76285836836975,26.527403047571724,1.132151455003706,-17.099270604109602,1.2165834957859079,24.996691154296634,-0.00822155654430899,-0.006750738883271726,-0.004788488953440173,-0.0025152427732146833,-0.0005253407497190683,-0.00014507561244441323,-0.0034523399198483976,-0.008673471780533496,-0.0072715991606040805,-0.0012067843968798114,532.6446012971337,525.94972896638,525.1676926766727,533.6024242348032,568.9702996103173,620.2924723750576,684.1953468852363,722.5414874267377,671.7067391497325,609.8147799070389
hm100/microcapm_active_buy_volume_ratio_rolling_beta_mean_p5,hm100,1207,0.04024891366059836,0.6148501496427832,0.292294708011396,1.0,0.292294708011396,0.9272727272727272,0.4298506261668062,0.4298506261668062,0.00024625620605380166,17.546545861476755,6.429010461224668,10.638456074151525,15.948626630571344,26.730020396454147,31.761130490013336,36.9235149340833,41.41584338528177,46.56526034597332,53.04243556863395,0.004115580193467716,0.006638557140827696,0.004322761619593075,0.001867884620282789,0.00025038378100093864,2.9313698463317338e-06,0.0008021983009912098,0.0026544673905093434,0.006121924231693326,0.013225968806332089,658.5635149855697,667.0676452290431,666.1455626332441,648.546732637278,630.9751829693862,608.8528196777238,584.0215803345227,557.1188540214862,528.6615157576299,478.65220442793697
hm100/microcapm_active_buy_volume_ratio_rolling_residual_std_mean_autocorr1,hm100,1207,-0.08952300867220817,-0.9649992728384587,-0.7027817877161517,-1.0,-1.0,-0.9878787878787879,0.4027934010996739,0.5972065989003261,-0.0013232155084355406,56.286274005256296,58.503289701792134,55.435163474954074,50.99060476147017,45.801867665322916,36.49125554639966,29.108485005819638,18.960778036252183,-0.34992722933299625,-65.96367384035914,-0.014581815857965617,-0.010355428009351991,-0.0065132016945150676,-0.003256797001873259,-0.0008190521010177866,0.00036788361481062754,-0.000277206909976035,-0.003785834795346287,-0.01218336670585749,-0.036794973702679666,501.01491471292303,518.5346721946621,524.3906464403552,531.2406921961717,537.357875080883,553.1154440388942,582.4371614141444,629.6706388614297,697.0193922363998,878.6078016320553
hm100/microcapm_active_buy_volume_ratio_rolling_residual_std_mean_corr_microcapm_large_trade_direction_v2_capm_abs_residual_mean,hm100,1207,-0.07677246876084347,-0.9926419153829783,-0.9290140925172942,-0.9999999999999998,-0.9999999999999998,-0.9878787878787879,0.4046794805716299,0.5953205194283702,-0.0008823114104937634,54.74013925325838,55.16303339487014,51.085415640641024,48.93471788535987,43.67105156719754,38.56947110631772,31.999790922827263,21.202631261257068,0.6461798660032221,-59.36087278529524,-0.012393445899648418,-0.009528273392375141,-0.0054764682417366185,-0.002697908359219803,-0.0006150935640588192,0.000342696809719618,-0.00018783965782496947,-0.002858160550173688,-0.010701528892714593,-0.03177413560231732,585.1710348928123,527.9691251284636,534.1118137945879,544.1084212172219,556.6947417188935,572.1237707117912,591.6670864142233,626.1109036500918,684.3984897064721,795.0296031285521
