factor,ic,SSM_parquet,SSM_csv,spread,short_drop,long_rise,r1,r5,r6,r10
microcapm_spread_bps_rolling_alpha_mean_corr_microcapm_mic,-0.008215728270186635,1.0,1.0,-3.279693269342604,-0.8507075686881231,-2.239132562387444,4.254351731959337,3.403644163271214,3.213791025004177,0.974658462616733
microcapm_spread_bps_rolling_alpha_mean_corr_microcapm_pri,-0.019495183727876328,1.0,1.0,-4.851453876984111,-1.1616889049249073,-3.5392211204411486,5.67785542084272,4.516166515917813,4.3656226642997575,0.826401543858609
microcapm_order_gap_signed_vw_rolling_corr_market_mean_iqr,-0.02226034844636385,1.0,1.0,-6.322308651243902,-2.6982579077367927,-2.3765161625029694,6.594675706513912,3.896417798777119,2.6488832177729793,0.2723670552700098
microcapm_active_buy_volume_ratio_rolling_alpha_mean_corr_,-0.01332102277051327,1.0,1.0,-6.053891083912652,-2.1654990459948715,-3.7474056912907443,6.310068105446311,4.144569059451439,4.003582712824403,0.25617702153365846
microcapm_observable_ratio_level_rolling_beta_mean_kurt_fo,-0.008792174552087865,1.0,1.0,-2.24520184143855,-0.8205761448090527,-1.138247085466909,4.866579924507402,4.046003779698349,3.7596251685357607,2.621378083068852
microcapm_large_trade_direction_v2_capm_residual_zscore_me,-0.004510759151800461,1.0,1.0,-3.064810553482438,-1.3370096758232264,-1.520685503214621,4.847234682784249,3.5102250069610226,3.3031096325164317,1.7824241293018108
microcapm_order_gap_signed_vw_rolling_alpha_mean_autocorr1,-0.0276176322571732,1.0,1.0,-8.000544150284702,-1.4077478567555053,-5.942215735834748,5.7487358946430405,4.340988037887535,3.6904074801930866,-2.251808255641661
microcapm_large_trade_direction_v2_capm_abs_residual_mean_,-0.01877728824721731,1.0,1.0,-7.44158294213975,-1.416843808410528,-5.509575651523194,5.487763419913988,4.07091961150346,3.555756129297434,-1.953819522225761
microcapm_price_log_return_3s_rolling_corr_market_mean_p5_,0.01891330756959826,1.0,1.0,7.584366591179354,3.7926688124906316,2.889275403360079,-1.1552144845335235,2.637454327957108,3.539876703285751,6.42915210664583
microcapm_book_imbalance10_innovation_capm_residual_mean_c,-0.015992707704847026,1.0,1.0,-5.327754750399356,-2.023431723784613,-3.023020076443748,5.247119590706595,3.223687866921982,2.942384916750988,-0.08063515969275992
