factor,ic,decomp_resid,share,lam,ssm,gamma,r1_bp,r5_bp,r6_bp,r10_bp,c1_3,c8_10
microcapm_active_buy_volume_ratio_capm_abs_residual_,0.02162462478378487,2.5604518505417673e-15,1.7350169060802485,0.061857987357002375,-0.2612839399123926,0.12718771877187718,14.41944408416748,12.054941177368164,12.128390312194824,33.53065490722656,0.005879888857544537,0.014707817437272694
microcapm_active_buy_volume_ratio_capm_abs_residual_,0.02602895555414356,2.3869795029440866e-15,0.7129895177781667,0.07488018955093803,-0.23761625327071276,0.1152165216521652,-20.365158081054688,24.94974136352539,26.617956161499023,5.596384525299072,0.023165355618856156,0.0015221761540667575
microcapm_active_buy_volume_ratio_capm_abs_residual_,0.05671089808176705,,0.06397492486907068,,,0.3070059166492301,-48.94069290161133,,,35.18820571899414,0.03478011826981041,
microcapm_active_buy_volume_ratio_capm_residual_zsco,0.08305676301473347,2.1024848528838902e-15,0.5955910959578592,0.223287274343292,-0.048807427342188105,0.29629962996299625,-47.55326461791992,23.296890258789062,29.315303802490234,39.56831359863281,0.044366669566128177,0.03313166777258034
microcapm_active_buy_volume_ratio_capm_residual_zsco,-0.07587942246337694,,0.4510834088440272,,,-0.32199848815994353,,26.50872802734375,20.261886596679688,-42.362178802490234,,-0.0384797160042826
microcapm_active_buy_volume_ratio_capm_residual_zsco,0.059900883292465464,2.3800406090401793e-15,0.4429515794880458,0.1951980744929826,-0.06072408253101005,0.27600760076007597,-34.3813591003418,17.69547462463379,24.34956932067871,38.67414855957031,0.029789927603673577,0.026220436324655563
microcapm_active_buy_volume_ratio_rolling_alpha_mean,-0.04225128172137612,2.5431046157819992e-15,0.5128239371729232,-0.06646451773003363,-0.2996882968373124,-0.30295022896178964,33.591915130615234,24.612215042114258,8.329401969909668,11.819705963134766,-0.020003576612325987,-0.015405843994421969
microcapm_active_buy_volume_ratio_rolling_beta_mean_,0.04583417790497401,2.2065682614424986e-15,0.4340797609970892,0.10667086979810439,-0.18436742599473355,0.24098909890989093,2.496770143508911,10.709173202514648,16.69858169555664,39.809696197509766,0.016622224087125322,0.025552406524971847
ask_buy_chg_vs_mkt_tot_p95,0.04786363485538835,2.185751579730777e-15,0.3618735888357728,0.17013247648560875,-0.04576924056293442,0.28138814708942966,-19.37723731994629,16.869409561157227,22.676130294799805,36.597721099853516,0.023109967777101885,0.021607078934884907
ask_obs_drop_vs_mkt_drop_mean,0.0571858502813075,2.1510571102112408e-15,1.4904634884462071,0.19835169466169983,-0.03210583335392652,0.3129975802710597,-23.493515014648438,17.044477462768555,24.612436294555664,41.74551010131836,0.029369281966536327,0.02362990768863399
ask_obs_drop_vs_mkt_drop_median,0.05546836625405843,2.192690473634684e-15,6.097340995126511,0.19110287648740948,-0.06058656759358657,0.3080728676922305,-22.433061599731445,15.996675491333008,24.849958419799805,41.446998596191406,0.02767221876813355,0.023232923431481513
ask_obs_drop_vs_mkt_drop_p25,0.04788872654482752,2.5673907444456745e-15,0.48903797151702116,0.15702144997681414,-0.11346201741898543,0.3099183811637266,-7.754685878753662,10.343008041381836,20.90729522705078,42.94540786743164,0.02000784481454369,0.02334213605155003
ask_obs_pre_rank_autocorr1_abs,-0.03590759367707628,2.366162821232365e-15,0.8244957080874487,-0.14055351392681234,-0.3498673391713894,-0.2782688281240205,31.852249145507812,19.534137725830078,15.309422492980957,-8.127251625061035,-0.01605244704023071,-0.01730002141859595
ask_post15_buy_vs_event_stk_corr_pre15_ret_vs_event_,-0.020954999884414724,2.3037127760972e-15,2.0200185268893702,-0.05211627356437211,-0.4215321328721904,-0.18867115507578888,33.127010345458984,13.30439567565918,8.52574348449707,17.065427780151367,-0.015888855088561974,-0.0030889594244016706
ask_post15_vol_rank_autocorr1,-0.04451332657856681,2.8831104170734534e-15,0.6437484565826487,-0.18920199746378427,-0.42068683134310675,-0.2707764446283271,33.14314651489258,20.984209060668945,18.390056610107422,-26.190401077270508,-0.019104103666886564,-0.022743763159336995
ask_post15_vol_rank_autocorr1_abs,-0.03767568178654456,2.3592239273284576e-15,0.4760250572576354,-0.17930539797340375,-0.37731367126719334,-0.2798385175712441,28.697940826416016,22.875507354736328,19.380706787109375,-24.40382194519043,-0.014166734508414148,-0.02112252543296386
